Time	Amp	Volt	AH	Temp_1		
1471	12.5	1.93	5.1	32.5	
1481	12.5	1.93	5.1	32.5	
1491	12.5	1.93	5.1	32.5	
1501	12.5	1.93	5.2	32.5	
1511	12.5	1.93	5.2	32.5	
1521	12.5	1.93	5.2	32.5	
1531	12.5	1.93	5.3	32.5	
1541	12.5	1.93	5.3	32.5	
1551	12.5	1.93	5.3	32.5	
1561	12.5	1.93	5.4	32.5	
1571	12.5	1.93	5.4	32.5	
1581	12.5	1.93	5.4	32.5	
1591	12.5	1.93	5.5	32.5	
1601	12.5	1.93	5.5	32.5	
1611	12.5	1.93	5.5	32.5	
1621	12.5	1.93	5.6	32.5	
1631	12.5	1.93	5.6	32.5	
1641	12.5	1.93	5.6	32.5	
1651	12.5	1.93	5.7	32.5	
1661	12.5	1.93	5.7	32.5	
1671	12.5	1.93	5.7	32.5	
1681	12.5	1.93	5.8	32.5	
1691	12.5	1.93	5.8	32.5	
1701	12.5	1.93	5.9	32.5	
1711	12.5	1.93	5.9	32.5	
1721	12.5	1.93	5.9	32.5	
1731	12.5	1.93	6	32.5	
1741	12.5	1.93	6	32.5	
1751	12.5	1.93	6	32.5	
1761	12.5	1.93	6.1	32.5	
1771	12.5	1.93	6.1	32.5	
1781	12.5	1.93	6.1	32	
1791	12.5	1.93	6.2	32	
1801	12.5	1.93	6.2	32.5	
1811	12.5	1.94	6.2	32.5	
1821	12.5	1.93	6.3	32.5	
1831	12.5	1.94	6.3	32.5	
1841	12.5	1.94	6.3	32.5	
1851	12.5	1.93	6.4	32.5	
1861	12.5	1.94	6.4	32.5	
1871	12.5	1.93	6.4	32.5	
1881	12.5	1.94	6.5	32.5	
1891	12.5	1.94	6.5	32.5	
1901	12.5	1.94	6.5	32.5	
1911	12.5	1.94	6.6	32.5	
1921	12.5	1.93	6.6	32	
1931	12.5	1.94	6.7	32.5	
1941	12.5	1.94	6.7	32.5	
1951	12.5	1.94	6.7	32.5	
1961	12.5	1.94	6.8	32.5	
1971	12.5	1.94	6.8	32	
1981	12.5	1.93	6.8	32	
1991	12.5	1.93	6.9	32	
2001	12.5	1.94	6.9	32.5	
2011	12.5	1.94	6.9	32.5	
2021	12.5	1.94	7	32.5	
2031	12.5	1.94	7	32.5	
2041	12.5	1.94	7	32.5	
2051	12.5	1.93	7.1	32.5	
2061	12.5	1.94	7.1	32.5	
2071	12.5	1.93	7.1	32	
2081	12.5	1.94	7.2	32	
2091	12.5	1.94	7.2	32.5	
2101	12.5	1.94	7.2	32.5	
